message_text,timestamp
Hello everyone!,2025-11-29T10:00:00Z
Anyone here?,2025-11-29T10:01:00Z
Check out this link,2025-11-29T10:02:00Z
Great discussion today,2025-11-29T10:03:00Z
What do you think?,2025-11-29T10:04:00Z
Thanks for the info,2025-11-29T10:05:00Z
See you later!,2025-11-29T10:06:00Z
Good morning team,2025-11-29T10:07:00Z
Let's get started,2025-11-29T10:08:00Z
Anyone need help?,2025-11-29T10:09:00Z
LOL that's funny,2025-11-29T10:10:00Z
Agreed!,2025-11-29T10:11:00Z
Working on it now,2025-11-29T10:12:00Z
Almost done,2025-11-29T10:13:00Z
Perfect timing,2025-11-29T10:14:00Z
Nice work everyone,2025-11-29T10:15:00Z
Quick question,2025-11-29T10:16:00Z
Got it thanks,2025-11-29T10:17:00Z
Catching up now,2025-11-29T10:18:00Z
Sounds good to me,2025-11-29T10:19:00Z
