product_id,product_name,price,category
PROD-001,Laptop Dell XPS,1299.99,Electronics
PROD-002,iPhone 15 Pro,999.00,Electronics
PROD-003,Samsung TV 55",599.99,Electronics
PROD-004,Nike Running Shoes,129.99,Footwear
PROD-005,Adidas Sneakers,89.99,Footwear
PROD-006,Office Chair Ergonomic,249.99,Furniture
PROD-007,Standing Desk,399.99,Furniture
PROD-008,Wireless Mouse,29.99,Accessories
PROD-009,Mechanical Keyboard,149.99,Accessories
PROD-010,USB-C Hub,49.99,Accessories
PROD-011,Coffee Maker,79.99,Appliances
PROD-012,Blender Pro,129.99,Appliances
PROD-013,Yoga Mat,24.99,Sports
PROD-014,Dumbbell Set,199.99,Sports
PROD-015,Backpack Travel,59.99,Bags
PROD-016,Leather Wallet,39.99,Accessories
PROD-017,Sunglasses Polarized,89.99,Accessories
PROD-018,Watch Smartwatch,299.99,Electronics
PROD-019,Headphones Noise Cancel,249.99,Electronics
PROD-020,Tablet 10 inch,399.99,Electronics
